publishedAt,Title,description,url,source,sentiment_label,sentiment_score
2026-08-25 22:26:00+00:00,Zoom Reports Solid Earnings. The Stock Drops Anyway.,"Zoom reported adjusted earnings of $1.55 a share for the quarter, up from $1.53 a year ago and above analysts’ expectations for $1.48, per FactSet.",https://www.barrons.com/articles/zoom-earnings-stock-price-ac38a544?siteid=yhoof2&yptr=yahoo,{'name': 'Barrons.com'},Positive,1.0
2026-08-25 22:24:00+00:00,Alphabet Investors Are Still Underestimating Google Cloud,"Google Cloud's growth has been heating up, and its acceleration should continue.",https://www.fool.com/investing/2026/08/25/alphabet-investors-are-still-underestimating-googl/,{'name': 'Motley Fool'},Positive,0.9999924898147583
2026-08-25 22:08:00+00:00,Is Marvell (MRVL) Stock Poised for Another AI-Fueled Rally as Q2 Earnings Approach?,"Outside of Nvidia, Marvell Technology will provide the semiconductor market's most closely watched earnings report this week on Thursday, August 27.",https://finance.yahoo.com/markets/stocks/articles/marvell-mrvl-stock-poised-another-220800295.html,{'name': 'Zacks'},Positive,0.9999897480010986
2026-08-25 21:02:57+00:00,OpenAI’s Data-Center Chief Has Reportedly Left — Executive Exodus Grows Ahead Of Planned IPO,Chris Malone’s exit adds to a string of senior departures as OpenAI reshuffles its infrastructure team and prepares for a potential IPO.,https://stocktwits.com/news-articles/markets/equity/open-ai-data-center-chief-has-reportedly-left-executive-exodus-grows-ahead-of-planned-ipo/cZYlG2zRJo0,{'name': 'Stocktwits'},Negative,0.9981028437614441
2026-08-25 20:16:26+00:00,Why Rezolve AI Stock Rocketed Higher Today,Investors are celebrating the first major commercial deployment of the AI upstart's distributed database platform.,https://www.fool.com/investing/2026/08/25/why-rezolve-ai-stock-rocketed-higher-today/,{'name': 'Motley Fool'},Positive,0.9999936819076538
2026-08-25 19:58:48+00:00,Moody's Pushes Deeper Into AI With Google,Proprietary financial data is becoming a new AI battleground,https://finance.yahoo.com/technology/ai/articles/moodys-pushes-deeper-ai-google-195848899.html,{'name': 'GuruFocus.com'},Neutral,0.7747876644134521
2026-08-25 19:58:33+00:00,Google May Be Sitting on a $200 Billion AI Opportunity,Morgan Stanley sees major upside from its custom AI chips.,https://finance.yahoo.com/technology/ai/articles/google-may-sitting-200-billion-195833515.html,{'name': 'GuruFocus.com'},Positive,1.0
2026-08-25 19:56:46+00:00,Google's Gemini Push Just Got Much Bigger,Banks are becoming a major test for agentic AI,https://finance.yahoo.com/technology/ai/articles/googles-gemini-push-just-got-195646133.html,{'name': 'GuruFocus.com'},Neutral,0.9562220573425293
2026-08-25 19:53:21+00:00,S&P 100 Is Quietly Sending a Powerful Signal,The market rotation may be healthier than it first appears.,https://finance.yahoo.com/markets/stocks/articles/p-100-quietly-sending-powerful-195321128.html,{'name': 'GuruFocus.com'},Positive,1.0
2026-08-23 11:25:02+00:00,Nvidia's Q2 earnings to test resurgent AI trade,Nvidia will report its Q2 earnings after the bell on Aug. 26.,https://finance.yahoo.com/markets/stocks/article/nvidias-q2-earnings-to-test-resurgent-ai-trade-112502189.html,{'name': 'Yahoo Finance'},Neutral,0.9997352957725525
